Nombre Grace,Claves Clases,Link MisProfes,
DENISE MEJAN GANEM,DER-16019,https://www.misprofesores.com/profesores/Denise-Mejan-Ganem_140466,
JORGE FRANCISCO DE LA VEGA GONGORA,"EST-10101, EST-10102",https://www.misprofesores.com/profesores/Jorge-De-la-Vega-Gongora_100220,
GUILLERMO ABDEL MUSIK ASALI,IIO-14180,https://www.misprofesores.com/profesores/Asali-Guillermo-Abdel-Musik_10866,
IRMA BEATRIZ RUMBOS PELLICER,MAT-12351,https://www.misprofesores.com/profesores/Irma-Beatriz-Rumbos-Pellicer_10702,
MARTINA ROQUERO ROS,"MAT-24630, MAT-12200, MAT-24632",https://www.misprofesores.com/profesores/martina-ros-roquero_75072,
LUIS FERNANDO BALAGUERA SARMIENTO,EIN-19408,N/A,
FELIPE BRUGUES RODRIGUEZ,ADM-12107,https://www.misprofesores.com/profesores/Felipe-Brugues-Rodriguez_160059,
JOYCE CAROL  SADKA,"ECO-14208, DER-10113",https://www.misprofesores.com/profesores/Joyce-Carol-Sadka_10766,
GUILLERMO ORTIZ MARTINEZ,ECO-17103,N/A,
JESUS ALEJANDRO ORDIERES SIERES,EGN-17123,https://www.misprofesores.com/profesores/Jesus-Alejandro-Ordieres-Sieres_10826,
MARIA CRISTINA GIGOLA PAGLIALUNGA,IIO-14170,https://www.misprofesores.com/profesores/Maria-Cristina-Gigola-Paglialunga_10861,
MONICA GARCIA CEREZO,CON-14100,https://www.misprofesores.com/profesores/Monica-Garcia-Cerezo_15986,
MARIA OFELIA RODRIGUEZ DURAN,"SDI-11120-LAB, SDI-17306-LAB",https://www.misprofesores.com/profesores/Ofelia-Rodriguez_33115,https://www.misprofesores.com/profesores/MARIA-OFELIA-RODRIGUEZ-DURAN_159927
JAIME DE LEON REYES,CON-15001,N/A,
STEFANO STRAULINO TORRE,"EGN-17142, EGN-17122",https://www.misprofesores.com/profesores/Stefano-Straulino-Torre_81785,https://www.misprofesores.com/profesores/Stephano-Straulino_83245
HAICAL JOSE BESIL SHAADI,CON-10005,https://www.misprofesores.com/profesores/Haical-Besil_67324,
JOSE JULIO MURCIO TREJO,CON-12002,N/A,
MIGUEL FRANCISCO DE LASCURAIN MORHAN,IIO-16180,https://www.misprofesores.com/profesores/Miguel-Francisco-de-Lascurain-Morhan_10857,
ISRAEL ALVAREZ MACIAS,LEN-12767,N/A,
MARIO VAZQUEZ CORTE,"COM-12103, COM-23101",N/A,
FRANCO ALBERTO DEL VALLE PRADO,"DER-10015, DER-10022, DER-10016",https://www.misprofesores.com/profesores/Franco-Alberto-Del-Valle-Prado_129325,
JOEL ZAMORA RAMOS,"MAT-14310, MAT-11310",https://www.misprofesores.com/profesores/Joel-Zamora-Ramos_15284,
ALEJANDRA FLORES MOSRI,"COM-16301, COM-16306",https://www.misprofesores.com/profesores/Alejandra-Flores-Mosri_20881,
THOMAS MARTIN RUDOLF,"IIO-12182, IIO-15183, IIO-12170, IIO-12170-LAB, IIO-12182-LAB",N/A,
DAVID RUELAS RODRIGUEZ,ACT-11302,https://www.misprofesores.com/profesores/David-Ruelas-Rodriguez_14178,
JOSE FRANCISCO TUDON MALDONADO,"ADM-12350, ADM-15582",https://www.misprofesores.com/profesores/JOSE-FRANCISCO-TUDON-MALDONADO_107298,
MARIA LUCIA DEL CARPIO ROMERO,ADM-12107,N/A,
ALFREDO URUCHURTU SOBERON,DER-17601,N/A,
LEONARDO ROJAS NANDAYAPA,"EST-11102, ACT-11302",https://www.misprofesores.com/profesores/Leonardo-Rojas_19570,
MARGARET KATHRYN  SLOAN,ADM-14413,https://www.misprofesores.com/profesores/Maggie-Sloan_47010,
ALEJANDRO TERAN CASTELLANOS,"IIO-13150, IIO-13160",https://www.misprofesores.com/profesores/Alejandro-Teran-Castellanos_10862,
ROSA ELENA MIRANDA SANSORES,CON-10001,https://www.misprofesores.com/profesores/ROSA-ELENA-MIRANDA-SANSORES_93912,
JESUS ADRIAN CRESPO FARRERA,DER-14606,https://www.misprofesores.com/profesores/Jesus-Adrian-Crespo-Ferrera_180909,
MARIA CRISTINA GARCIA BARRAGAN DE LA PEÑA,DER-10019,https://www.misprofesores.com/profesores/Maria-Cristina-Garcia-Barragan-De-La-Pena_129390,
VALERIA ZEPEDA TREJO,"EGN-17162, EGN-11163",https://www.misprofesores.com/profesores/Valeria-Zepeda-Trejo_17590,
LUIS MANUEL ESTRADA STRAFFON,CSO-14051,https://www.misprofesores.com/profesores/luis-estrada-straffon_77178,
CARLOS ARTURO SERNA GARCINI,"ADM-12013, ADM-11101, ADM-11017",https://www.misprofesores.com/profesores/Carlos-Arturo-Serna-Garcini_35622,https://www.misprofesores.com/profesores/Carlos-Garcini_93786
ADRIANA ALFARO ALTAMIRANO,"ECO-10307, CSO-19091, CSO-11073",https://www.misprofesores.com/profesores/Adriana-Alfaro_94152,
OMAR VIGUERAS HERRERA,"MAT-12200, MAT-14250, MAT-14200",https://www.misprofesores.com/profesores/Omar-Vigueras-Herrera_147082,
JOSE PABLO OLIVARES PRETELIN,"MAT-14250, MAT-14200",https://www.misprofesores.com/profesores/Jose-Pablo-Olivares-Pretelin_78777,
EMILIO GUTIERREZ FERNANDEZ,"ECO-18101, ECO-10204, ECO-10202",https://www.misprofesores.com/profesores/Emilio-Gutierrez_31470,
ADRIAN LUCARDI,"CSO-15022, CSO-10110",https://www.misprofesores.com/profesores/Adrian-Lucardi_82586,
LUCIA RAMIREZ DAVID,"MAT-24632, MAT-14300, MAT-24630, MAT-12250, MAT-14280",https://www.misprofesores.com/profesores/Lucia-Ramirez_24708,
JUAN PABLO MICOZZI,"CSO-14042, CSO-10101, CSO-10106, CSO-14041",https://www.misprofesores.com/profesores/Juan-Pablo-Micozzi_59705,
CESAR CLAUDIO URRUTIA ROMERO,DER-13406,https://www.misprofesores.com/profesores/Cesar-Claudio-Urrutia-Romero_106567,
GRACIELA GUADALUPE DEL CARMEN DIAZ ARGOMEDO,IIO-15132-LAB,https://www.misprofesores.com/profesores/Graciela-Guadalupe-Diaz-Argomedo_50992,
JORGE RIVERA NORIEGA,"MAT-24111, MAT-24150",https://www.misprofesores.com/profesores/Jorge-Rivera-Noriega_94017,
TRIDIB  SHARMA,ECO-11122,https://www.misprofesores.com/profesores/Tridib-Sharma_10768,
LUIS ENRIQUE PEREDA TREJO,DER-12204,https://www.misprofesores.com/profesores/Luis-Enrique-Pereda-Trejo_131154,https://www.misprofesores.com/profesores/Luis-Enrique-Pereda_59785
ANGEL PEREZ JUAREZ,"MAT-12220, MAT-14250, MAT-14200",https://www.misprofesores.com/profesores/Angel-Perez-Juarez_18387,
MARIA CANDELAS RAMIREZ,"CON-10001, CON-10112, CON-10003",https://www.misprofesores.com/profesores/Maria-Candelas-Ramirez_10751,
CONRADO JOSE ARRANZ MINGUEZ,"LEN-12701, LEN-14208, LEN-10132, LEN-12702, LEN-12711",https://www.misprofesores.com/profesores/Jose-Conrado-Arranz-Minguez_84768,https://www.misprofesores.com/profesores/Jose-Conrado-Arranz-Minguez_84769
HUGO CUEVAS BRAVO,EST-11101,https://www.misprofesores.com/profesores/Hugo-Cuevas-Bravo_155789,
JUAN CARLOS ROA JACOBO,DER-17703,https://www.misprofesores.com/profesores/Juan-Carlos-Roa_14968,
